Timestamp;Attention;Meditation;Delta;Theta;LowAlpha;HighAlpha;LowBeta;HighBeta;LowGamma;HighGamma;Signal;Key
110637;100;47;80576;13108;3795;4434;6561;5957;1720;729;0;Right
111623;100;34;3026;12997;2036;1864;1409;7494;2636;1289;0;Right
112613;97;69;7550;2296;5226;667;1017;2577;1773;731;0;Right
113626;100;57;10843;2189;486;2242;3226;2872;1399;1162;0;Right
114625;100;74;5891;2070;3481;1579;1153;2058;1202;2544;0;Right
115600;100;70;9992;6115;927;981;2650;2641;1957;1348;0;Right
116602;93;63;7918;9601;7868;3443;6283;1925;1841;828;0;Right
117619;88;67;635;6218;3404;932;1931;3823;1295;1086;0;Right
118585;69;47;37914;33631;9097;1078;1504;2527;3640;960;0;Right
119581;60;38;44087;27060;873;2060;4066;3932;1028;524;0;None
120611;80;24;8302;4310;1661;1350;732;4613;1334;1989;0;None
121564;78;34;7135;4015;5490;6473;7201;5247;1988;2666;0;None
122568;90;47;33999;8956;4972;1816;424;2616;1300;648;0;None
123572;90;47;266748;32467;20271;5766;7795;15198;17191;11826;51;Left
124581;90;47;313608;5656;1008;576;1400;3313;405;438;25;Left
125551;88;74;46748;32375;15561;3975;2994;5393;1753;1556;0;Left
126557;61;77;68319;46659;11332;15262;13172;4020;3559;736;0;Left
127561;53;70;6023;11220;5455;2059;2260;2708;2565;711;0;Left
128539;57;69;2449;3626;2351;1851;2712;2293;1638;957;0;Left
129538;61;63;6653;5764;856;1734;848;1285;657;1767;0;Left
130564;66;64;14906;7334;3923;2512;5170;1271;3610;1680;0;Left
131517;83;64;7233;2121;880;2113;1894;3132;676;1396;0;Left
132544;88;70;10622;2917;5004;2369;1737;5467;841;1401;0;Left
133573;96;70;14121;6436;1880;2171;2244;3530;654;1488;0;Left
134501;100;60;4438;3997;850;701;1081;2910;1186;1532;0;Left
135505;100;54;4657;2116;1136;1027;1207;3461;1341;832;0;Left
